"Computer date","Tree ID","Date","Maple Species","Latitude","Longitude","Concrete","Habitat","Shade","Tree Circumference_in","Damage","Other Comments","Leaf Color","Leaves Dropping","Fruit","C16-D"
"10/10/2014 - 8:39am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Open (more than 5hr per day of direct sun)",,"a branch broke off","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 1:36pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"some top branches broken","Tall,Healthy,and Full","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 1:38pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"Broken/Missing Limbs","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 1:38pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","NICE AND BIG ","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 1:38pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"none","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 1:38pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"none","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 1:38pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","Healthy, tall,wide","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 1:39pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","none","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 1:39pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)","1006128:00:00"
"10/10/2014 - 1:39pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 1:40pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 1:41pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"limbs missing","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 11:41am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 11:41am",,"10/10/2014","Sugar Maple",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 11:41am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 11:41am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 11:42am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"one broken branch","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 11:42am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"broken limbs","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 11:43am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 12:54pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"NONE","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 12:54pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"none","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 12:55pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 12:55pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"None ","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 12:58pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"none","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 12:59pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:34am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"none ","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:38am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"Dead Branches","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:38am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"broken limbs ","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:38am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"broken lims ","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:39am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"1 dead branch ","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:39am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"couple dead branches","tastey","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:39am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:40am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"FEW BROKEN LIMBS","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:41am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 11:43am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 12:54pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 12:54pm",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:39am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"missing limbs","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:39am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"missing limbs","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:39am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"missing limbs","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:39am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"missing limbs","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/10/2014 - 8:40am",,"10/10/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"One not at bottom.","little plants growing around it.","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006128:00:00"
"10/23/2014 - 2:27pm",,"10/11/2014","Sugar Maple",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"The central leader has died","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006152:00:00"
"10/23/2014 - 3:27pm",,"10/12/2014","Sugar Maple",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Open (more than 5hr per day of direct sun)",,"","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006176:00:00"
"10/14/2014 - 1:21pm",,"10/14/2014","Red Maple",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Open (more than 5hr per day of direct sun)",,"Branches with no leaves","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006224:00:00"
"10/14/2014 - 1:20pm",,"10/14/2014","Sugar Maple",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"heathly","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006224:00:00"
"10/14/2014 - 1:23pm",,"10/14/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006224:00:00"
"10/14/2014 - 1:26pm",,"10/14/2014","Red Maple",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"none","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006224:00:00"
"10/14/2014 - 1:28pm",,"10/14/2014","Red Maple",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006224:00:00"
"10/14/2014 - 1:28pm",,"10/14/2014","Red Maple",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006224:00:00"
"10/16/2014 - 8:42pm",,"10/16/2014","Sugar Maple",,,"Yes","Home lawn","Open (more than 5hr per day of direct sun)",,"none","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006272:00:00"
"10/14/2014 - 1:26pm",,"10/17/2014","Red Maple",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"none","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006296:00:00"
"10/17/2014 - 1:28pm",,"10/17/2014","Red Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","tastey","Late:  Most or all leaves have turned color (more than 90%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006296:00:00"
"10/20/2014 - 11:45am",,"10/20/2014","Sugar Maple",,,"Yes","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Open (more than 5hr per day of direct sun)",,"broken limbs","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 12:42pm",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Open (more than 5hr per day of direct sun)",,"None","","Late:  Most or all leaves have turned color (more than 90%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/23/2014 - 1:15pm",,"10/20/2014","Norway Maple",,,"No","Home lawn","Partially Shaded (2-5hr per day of direct sun)",,"","none","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 8:37am",,"10/20/2014","Silver Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"none","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 11:44am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 11:44am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 11:44am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 11:44am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 11:44am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 11:45am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 11:45am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 11:45am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 11:47am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"1 Brocken branch","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 12:42pm",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 12:42pm",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 12:43pm",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"none","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 12:43pm",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"NONE","","Late:  Most or all leaves have turned color (more than 90%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 12:43pm",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Late:  Most or all leaves have turned color (more than 90%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 8:33am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"","","Late:  Most or all leaves have turned color (more than 90%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 8:33am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"none","","Early:  Only a few leaves have turned color (less than 10%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 8:35am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"broken limbs ","","Late:  Most or all leaves have turned color (more than 90%)","Middle:  Many leaves have dropped","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 8:36am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"1 dead branch","","Middle: Many leaves have turned color","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 8:37am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"Dead Branches","","Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 8:40am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"couple dead branches","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)","1006368:00:00"
"10/20/2014 - 8:40am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"couple dead branches","","Middle: Many leaves have turned color","Middle:  Many leaves have dropped","Late:  Most or all fruits or seeds have been dispersed from tree (over 90%)","1006368:00:00"
"10/20/2014 - 8:40am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"broken lims","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 8:41am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Partially Shaded (2-5hr per day of direct sun)",,"BROKEN LIMBS","Leaves are changing at the top","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 11:45am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 12:43pm",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 8:35am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"missing limbs","Taller than most of the other trees,and a few dead branches.","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/20/2014 - 8:39am",,"10/20/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Shaded (less than 2hr per day of direct sun)",,"Little not at bottom.","gulls","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006368:00:00"
"10/22/2014 - 1:34pm",,"10/22/2014","Norway Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Open (more than 5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006416:00:00"
"10/22/2014 - 1:35pm",,"10/22/2014","Sugar Maple",,,"No","Natural Setting (non-developed park/refuge/nature center/open space/forest)","Open (more than 5hr per day of direct sun)",,"","","Early:  Only a few leaves have turned color (less than 10%)","Early:  Only a few leaves have dropped (less than 10%)","None:  Tree is not fruiting this year","1006416:00:00"
"10/22/2014 - 2:12pm",,"10/22/2014","Norway Maple",,,"Yes","School lawn","Open (more than 5hr per day of direct sun)",,"","its a pretty tree : b","Late:  Most or all leaves have turned color (more than 90%)","Late:  Most or all leaves have fallen (over 90%)","None:  Tree is not fruiting this year","1006416:00:00"
